Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION
Central Park<br>Manhattan,40.7732618786226,-73.9711081981659,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0064036/,Central Park near Naumberg Bandshell seating,poor quality,Y,142,,Y
Forest Hills,40.7294030000000,-73.8454550000000,Queens,Queens,New York Moments,Film,http://imdb.com/title/tt0112461/,N/A,poor quality,Y,199,N,Y
E. 74th St. and Park Ave.<br>Upper East Side<br>Manhattan,40.7724500000000,-73.9629000000000,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0099165/,74th street and Park Avenue,Additional image p126,Y,227,,N
Ellis Island<br>New York Harbor,40.6973640824354,-74.0411996841430,Manhattan,New York Harbor,N/A,Film,http://www.imdb.com/title/tt0087004/,New York Bay - Ellis Island,poor quality,Y,159,,Y
W. 46th St. and Eighth Ave.<br>Midtown<br>Manhattan,40.7598000000000,-73.9879000000000,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0112585/,46th and 8th Avenue,slide,N,,,Y
E. 6th St. between First Ave. & Ave. A<br>East Village<br>Manhattan,40.7259741250466,-73.9851897954940,Manhattan,East Village,N/A,Film,http://imdb.com/title/tt0087089/,6th St. between 1st Ave and Avenue A,Mentioned in Medjuck quote p181,Y,,,N
Manhattan Bridge,40.7094016415368,-73.9918309450149,Manhattan,Lower Manhattan,Chases,Film,http://www.imdb.com/title/tt0109493/,Manhattan Bridge,,Y,83,,Y
Chinatown<br>Manhattan,40.7150048711311,-73.9988690614700,Manhattan,Chinatown,Rooftops,Film,http://www.imdb.com/title/tt0118971/,Chinatown,Additional image p233,Y,226,,Y
Grand Central Station<br>87 E. 42nd St.<br>Manhattan,40.7527025841052,-73.9772665500640,Manhattan,Midtown,New York Landmarks,Film,http://www.imdb.com/title/tt0101889/,Grand Central Station - 42nd Street,,Y,170-171,,Y
Bay 50th St. Station<br>Brooklyn,40.5886022710420,-73.9837574958801,Brooklyn,Brooklyn,Chases,Film,http://www.imdb.com/title/tt0067116/,86th Street from Bay 50th St. Station to 62nd St Station,Additional image on p61,Y,84-85,,Y
E. 6th St. and Ave. A<br>East Village<br>Manhattan,40.7253968409595,-73.9837843179702,Manhattan,East Village,N/A,Film,http://www.imdb.com/title/tt0071562/,,,Y,149,,Y
358 Chauncy St.<br>Bensonhurst<br>Brooklyn,40.6815010000000,-73.9187530000000,Brooklyn,Brooklyn,N/A,TV,http://www.imdb.com/title/tt0042114/,"358 Chauncy Street, Bensonhurst",,Y,254-255,,Y
W. 14th St. and Hudson St.<br>West Village<br>Manhattan,40.7405915656527,-74.0054619312286,Manhattan ,West Village,N/A,Film,http://imdb.com/title/tt0274558/,Greenwich Village flower shop,,Y,243,,Y
United Nations<br>First Ave. and E. 45th St.<br>Manhattan,40.7506706880159,-73.9679539203643,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0373926/,United nations,2 other pix,Y,216-217,,Y
51 Prospect Pl.<br>Brooklyn,40.6796209846076,-73.9760380983352,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0065963/,"51 Prospect Place, off Sixth Avenue",poor quality,Y,172-173,,Y
51 Prospect Pl.<br>Brooklyn,40.6797280000000,-73.9759740000000,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0065963/,"51 Prospect Place, off Sixth Avenue",poor quality,Y,172-173,,Y
Ed Sullivan Theatre<br>1697 Broadway<br>Manhattan,40.7637190000000,-73.9828330000000,Manhattan,Midtown,N/A,TV,http://www.imdb.com/title/tt0106053/,1697 Broadway,,Y,264,,N
Third Ave. from E. 55th to 110th St.<br>Upper East Side to E. Harlem<br>Manhattan,40.7590000000000,-73.9685000000000,Manhattan,Upper East Side,N/A,Film,http://imdb.com/title/tt0037884/,"Third Avenue from 55th to 110th Street,",,Y,32,,N
Williamsburg Bridge<br>Brooklyn,40.7113209430845,-73.9645743370056,Brooklyn,Brooklyn,N/A,Film,http://imdb.com/title/tt0040636/,Williamsburg Bridge,We have another photo,Y,34,,Y
"E. 26th St. near Second Ave.<br>Manhattan
",40.7397010000000,-73.9789350000000,Manhattan,Midtown,Historic Recreations,Film,http://www.imdb.com/title/tt0063348/,26th Street bet First and Second Aves.,,Y,148,,Y
Central Park<br>Manhattan,40.7897047351501,-73.9606583118438,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0066193/,Central Park,poor quality,Y,144,,Y
W. 72nd St. and Broadway<br>Upper West Side<br>Manhattan,40.7788000000000,-73.9821000000000,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0067549/,72nd street and Broadway,poor quality,Y,218-219,,Y
Park Ave. and E. 116th St.<br>Harlem<br>Manhattan,40.7993500000000,-73.9432500000000,Manhattan,Harlem,N/A,Film,http://imdb.com/title/tt0059575/,Park Avenue and 116th Street,,Y,50,,N
Brighton Beach Boardwalk<br>Brooklyn,40.5748886461028,-73.9637643098831,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0107824/,Brighton Beach Boardwalk,JAMES CROSSED OUT,N,,,Y
Columbus Ave. near W. 75th St.<br>Upper West Side<br>Manhattan,40.7794000000000,-73.9774000000000,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0093737/,Columbus Ave near 75th Street,Additional image p247,Y,222,,N
Second Ave. and E. 87th St.<br>Upper East Side<br>Manhattan,40.7786000000000,-73.9513000000000,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0072034/,2nd Avenue at 87th Street,,Y,107,,Y
East 80's<br>Upper East Side<br>Manhattan,40.7770804937423,-73.9539206027984,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0063462/,Lincoln Center - Columbus Avenue & 61st Street,poor quality,Y,56,,Y
Lincoln Center Plaza<br>Upper West Side<br>Manhattan,40.7723437533226,-73.9834195375442,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0063462/,Lincoln Center - Columbus Avenue & 61st Street,poor quality,Y,56,,Y
Lincoln Center Plaza<br>Upper West Side<br>Manhattan,40.7721487516255,-73.9831942319870,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0395251/,Lincoln Center Plaza,,Y,210,,N
Manhattan,40.7542142745118,-73.9690482616424,Manhattan,Midtown,New York Moments,Film,http://imdb.com/title/tt0110413/,N/A,,Y,202,N,Y
Convent Ave. and 144th St.<br>Hamilton Heights<br>Manhattan,40.8240000000000,-73.9467000000000,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0265666/,"Covent Avenue and 144th Street, Hamilton Heights",,Y,208,,Y
Lexington Ave. between 51st St. and 52nd St.<br>Midtown<br>Manhattan,40.7574488514269,-73.9716392755508,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0048605/,Lexington Avenue between 51st and 52nd Streets,,Y,38-39,,Y
Greenpoint<br>Brooklyn,40.7302507497813,-73.9543604850769,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0133952/,"Brooklyn Bridge, Greenpooint",,Y,184,,Y
"Empire Stores Park<br>Brooklyn Bridge
",40.7040890000000,-73.9936170000000,Brooklyn,Brooklyn,N/A,TV,http://www.imdb.com/title/tt0141842/,F.A.O. Schwarz - 58th and Fifth Avenue,,Y,270-271,,N
Museum of Natural History<br>W. 79th St. and Central Park West<br>Manhattan,40.7809963774517,-73.9724546670913,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0367089/,Museum of natural History 81st and Central Park West,,Y,213,,N
Subway near Court St.<br>Brooklyn,40.6930772101225,-73.9907366037368,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0072251/,Subway near Court St.,Additional Image on p94 of the book,Y,66,,N
Astroland<br>Coney Island <br>Brooklyn,40.5746441709563,-73.9788597822189,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0080120/,Coney Island boardwalk,poor quality,Y,136,,Y
Subway Car<br>Coney Island<br>Brooklyn,40.5757606001838,-73.9812737703323,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0080120/,Coney Island boardwalk,poor quality,Y,136,,Y
World Trade Center<br>Lower Manhattan,40.7109224485850,-74.0140503644943,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0078504/,World Trade Center,,Y,88,,N
Subway at 53rd St. and Fifth Ave.<br>Midtown<br>Manhattan,40.7605044880654,-73.9754641056060,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0051207/,Subway at 53rd Street and Fifth Avenue,,Y,42,,Y
Riverside Drive<br>Upper West Side<br>Manhattan,40.8143126677903,-73.9618599414825,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0073802/,North of 124th Street and Riverside Drive,poor quality,Y,62,,Y
W. 42nd St. between Seventh Ave. and Eighth Ave.<br>Times Square<br>Manhattan,40.7566849203205,-73.9884245395660,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0081635/,Times Square,poor quality,Y,236,,Y
W. 42nd between Ninth Ave. and Tenth Ave.<br>Midtown<br>Manhattan,40.7591879809907,-73.9947760105133,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0084805/,42nd between 9th and 10th Aves,poor quality,Y,237,,Y
Brooklyn Bridge,40.7056930038681,-73.9963048696518,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0056626/,Brooklyn Bridge,,N,,,N
East Harlem (El Barrio)<br>Manhattan,40.7979246369325,-73.9422154426574,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0062425/,East Harlem (El Barrio),,Y,240,,Y
Carousel<br>Central Park<br>Manhattan,40.7705643416205,-73.9775240421295,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0069449/,Central Park,poor quality,Y,143,,Y
Riverside Park near W. 109th St.<br>Morningside Heights<br>Manhattan,40.8051690029546,-73.9692091941833,Manhattan,Morningside Heights,N/A,Film,http://www.imdb.com/title/tt0069449/,Riverside Park,We have another photo,Y,221,,Y
Astroland<br>Coney Island <br>Brooklyn,40.5740248299205,-73.9788812398910,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0263757/,Coney Island,,Y,138-139,,N
W. 45th St. and Seventh Ave.<br>Times Square<br>Manhattan,40.7578714478420,-73.9853990077972,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0259711/,Times Square,slide,Y,185,,Y
New York Stock Exchange<br>Exchange Place<br>Lower Manhattan,40.7060508638740,-74.0105634927749,Manhattan,Lower Manhattan,New York Landmarks,Film,http://www.imdb.com/title/tt0094291/,New York Stock Exchange - Exchange place near broadway,,Y,169,,Y
Broadway and Vesey St.,40.7114000000000,-74.0086000000000,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0094291/,Broadway and Vesey Street,,Y,164,,N
W. 68th St.<br>Upper West Side<br>Manhattan,40.7762192933307,-73.9839184284210,Manhattan,Upper West Side,N/A,Film,http://imdb.com/title/tt0055614/,West 68th Street,,Y,46-47,,Y
W. 68th St.<br>Upper West Side<br>Manhattan,40.7765117777413,-73.9851200580596,Manhattan,Upper West Side,N/A,Film,http://imdb.com/title/tt0055614/,West 68th Street,,Y,46-47,,Y
Katz's Deli<br>205 E. Houston St.<br>Manhattan,40.7223220000000,-73.9874330000000,Manhattan,Lower East Side,N/A,Film,http://www.imdb.com/title/tt0098635/,Katz's Deli - Houston Street at Ludlow St,,Y,166-167,,Y
Washington Square Park<br>West Village<br>Manhattan,40.7311369361184,-73.9971846342086,Manhattan,West Village,N/A,Film,http://www.imdb.com/title/tt0098635/,Washington Square Park,,Y,79,,N
World Trade Center<br>Lower Manhattan,40.7101335850935,-74.0126770734787,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0083336/,World Trade Center,,Y,189,,N
Manhattan Bridge,40.7082305151118,-73.9911764860153,Manhattan ,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0083336/,Manhattan Bridge,,Y,189,,N
Charlotte St.<br>The Bronx,40.8347879563951,-73.8921225070953,The Bronx,The Bronx,N/A,Film,http://www.imdb.com/title/tt0083336/,Charlotte Street near 172nd Street,,Y,127,,N
Staten Island Ferry<br>New York Harbor,40.6823303463911,-74.0357494354248,Staten Island,Staten Island,N/A,Film,http://www.imdb.com/title/tt0096463/,Staten Island Ferry - crossing the upper bay,poor quality,Y,165,,Y
Steeplechase Park<br>Coney Island<br>Brooklyn,40.5747256627710,-73.9803296327591,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0061209/,"Steeplechase Park, Coney Island",poor quality,Y,68,,Y
"New York Public Library<br>Fifth Ave. and 41st St.<br>Manhattan
",40.7528651331099,-73.9815366268158,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0061209/,"New York Public Library, Fifth ave bt 41st and 42nd",poor quality,Y,71,,Y
Verdi Square<br>W. 73rd St.  & Broadway<br>Manhattan,40.7792578185718,-73.9815366268158,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0128853/,Verdi Square,,Y,223,,Y
91st Street Community Garden<br>Riverside Park<br>Manhattan,40.7928238690811,-73.9774167537689,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0128853/,91st Street Community Garden,,Y,206,,Y
