Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION
Municipal Building<br>1 Centre St.<br>Lower Manhattan,40.7130206173333,-74.0033751726150,Manhattan,Lower Manhattan,Rooftops,Film,http://imdb.com/title/tt0382073/,Municipal Building,,Y,232,,Y
Spring St. and Greene St.<br>SoHo<br>Manhattan,40.7238000000000,-74.0004000000000,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0386588/,"Greene and Spring Streets, SoHo",,Y,226,,N
Brooklyn Bridge,40.7031065948382,-73.9931881427764,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0102070/,Brooklyn Bridge ramp on Brooklyn side,,Y,131,,Y
170th St. in Morrisania<br>The Bronx,40.8387004363497,-73.9137303829193,The Bronx,The Bronx,The Subway,Film,http://www.imdb.com/title/tt0110091/,170th Street in Morrisania,Additional Image p193,Y,129,,Y
W. 20th St. <br>Chelsea<br>Manhattan,40.7405346630455,-73.9930325746536,Manhattan,Chelsea,N/A,Film,http://www.imdb.com/title/tt0116594/,West 20th bet Fifth and Sixth Ave,,Y,248,,Y
William St. and Wall St.<br>Lower Manhattan,40.7064000000000,-74.0095000000000,Manhattan,Lower Manhattan,N/A,Film,http://imdb.com/title/tt0454848/,William Street toward Wall Street,,Y,249,,N
W. Broadway and N. Moore St.<br>TriBeCa<br>Manhattan,40.7197000000000,-74.0059000000000,Manhattan,TriBeCa,N/A,Film,http://www.imdb.com/title/tt0110167/,West Broadway and North Moore Street,There is also a diner photo,Y,191,,Y
Central Park<br>Manhattan,40.7747487271979,-73.9725083112716,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0070238/,Central Park,,Y,108,,Y
Burned-out blocks in the Bronx,40.8343820842596,-73.9199316501617,The Bronx,The Bronx,N/A,Film,http://imdb.com/title/tt0102174/,burned-out blocks in the Bronx,,Y,128,,N
Bensonhurst<br>Brooklyn,40.6019000000000,-73.9938000000000,Brooklyn,Brooklyn,New York Moments,Film,http://www.imdb.com/title/tt0102175/,Bensonhurst,Not sure if this the correct photo,Y,203,,Y
Strivers' Row<br>Harlem<br>Manhattan,40.8180396083858,-73.9442163705825,Manhattan,Harlem,N/A,Film,,"Strivers' Row, 138th st bet Powell and Douglass blvds",slide,N,,,Y
Washington Square Park<br>West Village<br>Manhattan,40.7310718953207,-73.9968627691268,Manhattan,West Village,N/A,Film,http://www.imdb.com/title/tt0113540/,Washington Square Park,,Y,79,,N
Rooftops<br>Lower Manhattan,40.7082142493220,-74.0136587619781,Manhattan,Lower Manhattan,N/A,Film,http://imdb.com/title/tt0048254/,Rooftops of lower Manhattan,,Y,44,,Y
World Trade Center<br>Lower Manhattan,40.7125489417478,-74.0147799253463,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0074751/,World Trade Center,,Y,90-91,,Y
E. 6th St.<br>East Village<br>Manhattan,40.7255000000000,-73.9840000000000,Manhattan,East Village,N/A,Film,http://www.imdb.com/title/tt0264761/,East 6th Street,,Y,210,,Y
World Trade Center<br>Lower Manhattan,40.7112640154449,-74.0112930536270,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0067309/,World Trade Center,,Y,89,,N
Hell's Kitchen<br>Ninth Ave.<br>Manhattan,40.7616096837484,-73.9903128147125,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0067309/,Ninth Avenue in the 40s,,Y,104,,N
123rd St.<br>Harlem<br>Manhattan,40.8009134398031,-73.9333695173263,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0067309/,123rd Street near First Avenue,Additional Image on p88 of the book,Y,62,,Y
60 Baxter St.<br>Lower Manhattan,40.7158470000000,-74.0005470000000,Manhattan,Lower Manhattan,N/A,TV,http://imdb.com/title/tt0069599/,Lincoln Center,Unusable need rescan,Y,257,,Y
Lincoln Center<br>Upper West Side<br>Manhattan,40.7724087537612,-73.9837628602981,Manhattan,Upper West Side,N/A,TV,http://imdb.com/title/tt0069599/,Lincoln Center,Unusable need rescan,Y,257,,Y
P.S. 6 (45 E. 81st St.)<br>Upper East Side<br>Manhattan,40.7775540000000,-73.9606940000000,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0079417/,P.S. 6 - Madison Avenue and 81st street,,Y,157,,Y
Worth St.<br>Lower Manhattan,40.7171000000000,-74.0063000000000,Manhattan,Lower Manhattan,N/A,TV,http://imdb.com/title/tt0098844/,"2 locations:
- Central Park
- Worth Street",,Y,258-259,,Y
Coney Island<br>Brooklyn,40.5746360217693,-73.9808070659637,Brooklyn,Brooklyn,N/A,Film,http://imdb.com/title/tt0046004/,Coney Island,,Y,45,,Y
Christopher St. Station<br>Sheridan Square<br>Manhattan,40.7336084393223,-74.0027958154678,Manhattan,West Village,The Subway,Film,http://www.imdb.com/title/tt0412922/,Sheridan Square/Christopher Street Station,,Y,193,,Y
Manhattan Bridge<br>Brooklyn,40.7050748775105,-73.9896100759506,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0061927/,Manhattan Bridge,poor quality,Y,54,,Y
Washington Heights<br>Harlem<br>Manhattan,40.8322877445507,-73.9463353157043,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0438205/,Washington Heights,,Y,245,,Y
"Adjacent to Apollo Theater,<br>W. 125th St. between 7th and 8th Aves<br>Harlem, Manhattan",40.8100380000000,-73.9504500000000,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0104797/,"Adjacent to Apollo Theater, 125th Street bet 7th and 8th Aves",,Y,102-103,,Y
Midtown<br>Manhattan,40.7552,-73.9733,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0464105/,N/A,,Y,245,N,N
MoMA<br>W. 53rd St.<br>Manhattan,40.7611383525427,-73.9772021770477,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0079522/,"MoMA, 53rd St bet 5th and 6th Aves",Additional image p116,Y,123,,Y
The Bronx,40.8397420000000,-73.8809230000000,The Bronx,The Bronx,N/A,Film,http://imdb.com/title/tt0048356/,Bronx store,,Y,40,,Y
Manhattan,40.7572863136288,-74.0007412433624,Manhattan,Midtown,N/A,TV,http://imdb.com/title/tt0065317/,N/A,,Y,256,N,Y
Hester St. and Baxter St.<br>Little Italy<br>Manhattan,40.7185000000000,-73.9988000000000,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0070379/,Hester and Baxster Streets,,Y,186,,N
Battery Park<br>Lower Manhattan,40.7043591450871,-74.0147262811660,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0119654/,Battery Park,,Y,132,,N
MacDougal St.<br>SoHo<br>Manhattan,40.7316491301789,-73.9991319179534,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0119654/,"MacDougle Street, SoHo", JAMES CROSSED OUT,Y,132,,N
Grand Central Station<br>87 E. 42nd St.<br>Manhattan,40.7524120000000,-73.9779790000000,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0119654/,Grand Central Station - 42nd Street, JAMES CROSSED OUT,Y,132,,N
Guggenheim Museum<br>E. 88th St. and Fifth Ave.<br>Manhattan,40.7825724148694,-73.9593493938446,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0119654/,"Guggenheim Museum, 88th and Fifth",,Y,207,,Y
1414 Broadway<br>Midtown<br>Manhattan,40.7537670000000,-73.9868660000000,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0064665/,39th Street and Broadway,Additional Image on p58-59 of the book,Y,235,,Y
