Film,Year,IMDB LINK,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link
Crocodile Dundee II,1988,http://www.imdb.com/title/tt0092493/,CrocodileDundee4_pf,Courtesy of Photofest,Directed by,John Cornell,http://imdb.com/name/nm0180259/
Crooklyn,1994,http://www.imdb.com/title/tt0109504/,crooklyn1_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
Crossing Delancey,1988,http://www.imdb.com/title/tt0094921/,,,Directed by,Joan Micklin Silver,http://imdb.com/name/nm0798717/
Cruising,1980,http://www.imdb.com/title/tt0080569/,Cruising_pf,Courtesy of Photofest,Directed by,William Friedkin,http://imdb.com/name/nm0001243/
Cruising,1980,http://www.imdb.com/title/tt0080569/,Cruising_ec,"Courtesy of Everett Collection, Inc.",Directed by,William Friedkin,http://imdb.com/name/nm0001243/
Death to Smoochy,2002,http://www.imdb.com/title/tt0266452/,,,Directed by,Danny DeVito,http://imdb.com/name/nm0000362/
Death Wish,1974,http://www.imdb.com/title/tt0071402/,DeathWish_pf,Courtesy of Photofest,Directed by,Michael Winner,http://imdb.com/name/nm0935382/
Desperately Seeking Susan,1985,http://www.imdb.com/title/tt0089017/,DesperatelySeeking_pf,Courtesy of Photofest,Directed by,Susan Seidelman,http://imdb.com/name/nm0782384/
Desperately Seeking Susan,1985,http://www.imdb.com/title/tt0089017/,DesperatelySeeking1_ec,"Courtesy of Everett Collection, Inc.",Directed by,Susan Seidelman,http://imdb.com/name/nm0782384/
Die Hard: With a Vengeance,1995,http://www.imdb.com/title/tt0112864/,DieHardWithAvengance_pf,Courtesy of Photofest,Directed by,John McTiernan,http://imdb.com/name/nm0001532/
Do the Right Thing,1989,http://www.imdb.com/title/tt0097216/,DoTheRightthing3_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
Dog Day Afternoon,1972,http://www.imdb.com/title/tt0072890/,,,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/
Downtown 81 / New York Beat Movie,1981,http://www.imdb.com/title/tt0208993/,Downtown81_2_pf,Courtesy of Photofest,Directed by,Edo Bertoglio,http://imdb.com/name/nm0078166/
Downtown 81 / New York Beat Movie,1981,http://www.imdb.com/title/tt0208993/,Downtown81_pf,Courtesy of Photofest,Directed by,Edo Bertoglio,http://imdb.com/name/nm0078166/
Eternal Sunshine of the Spotless Mind,2004,http://www.imdb.com/title/tt0338013/,EternalSunshine_ec,"Courtesy of Everett Collection, Inc.",Directed by,Michel Gondry,http://imdb.com/name/nm0327273/
Fame,1980,http://www.imdb.com/title/tt0080716/,,,Directed by,Alan Parker,http://imdb.com/name/nm0000570/
Fame,1980,http://www.imdb.com/title/tt0080716/,,,Directed by,Alan Parker,http://imdb.com/name/nm0000570/
Ferry Tales,2003,http://www.imdb.com/title/tt0363607/,FerryTales_ec,"Courtesy of Everett Collection, Inc.",Directed by,Katja Esson,http://imdb.com/name/nm1534515/
Force of Evil,1948,http://imdb.com/title/tt0040366/,,,Directed by,Abraham Polonsky,http://imdb.com/name/nm0689796/
Fort Apache the Bronx,1981,http://imdb.com/title/tt0082402/,FortApache_ec,"Courtesy of Everett Collection, Inc.",Directed by,Daniel Petrie,http://imdb.com/name/nm0677951/
Ghostbusters,1984,http://www.imdb.com/title/tt0087332/,Ghostbusters_pf,Courtesy of Photofest,Directed by,Ivan Reitman,http://imdb.com/name/nm0718645/
Ghostbusters,1984,http://www.imdb.com/title/tt0087332/,Ghostbusters2_pf,Courtesy of Photofest,Directed by,Ivan Reitman,http://imdb.com/name/nm0718645/
Godspell,1973,http://www.imdb.com/title/tt0070121/,Godspell3_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
Godspell,1973,http://www.imdb.com/title/tt0070121/,Godspell4_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
Godspell,1973,http://www.imdb.com/title/tt0070121/,Godspell7_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
Godspell,1973,http://www.imdb.com/title/tt0070121/,Godspell8_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
Godspell,1973,http://www.imdb.com/title/tt0070121/,Godspell2_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
Godspell,1973,http://www.imdb.com/title/tt0070121/,Godspell6_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
Godspell,1973,http://www.imdb.com/title/tt0070121/,Godspell1_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
Godspell,1973,http://www.imdb.com/title/tt0070121/,Godspell5_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
Godzilla,1988,http://www.imdb.com/title/tt0120685/,Godzilla_ec,"Courtesy of Everett Collection, Inc.",Directed by,Roland Emmerich,http://imdb.com/name/nm0000386/
Goodfellas,1990,http://imdb.com/title/tt0099685/,Goodfellas_pf,Courtesy of Photofest,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/
Green Card,1990,http://www.imdb.com/title/tt0099699/,Greencard_pf,Courtesy of Photofest,Directed by,Peter Weir,http://imdb.com/name/nm0001837/
Greetings,1968,http://www.imdb.com/title/tt0063036/,Greetings_pf,Courtesy of Photofest,Directed by,Brian De Palma,http://imdb.com/name/nm0000361/
Hair,1979,http://www.imdb.com/title/tt0079261/,Hair_pf,Courtesy of Photofest,Directed by,Milos Forman,http://imdb.com/name/nm0001232/
Hannah and Her Sisters,1986,http://www.imdb.com/title/tt0091167/,,,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Hannah and Her Sisters,1986,http://www.imdb.com/title/tt0091167/,,,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Hannah and Her Sisters,1986,http://www.imdb.com/title/tt0091167/,,,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Heights,2005,http://imdb.com/title/tt0382073/,Heights_ec,"Courtesy of Everett Collection, Inc.",Directed by,Chris Terrio,http://imdb.com/name/nm0006516/
Hitch,2005,http://www.imdb.com/title/tt0386588/,,,Directed by,Andy Tennant,http://imdb.com/name/nm0855035/
Hudson Hawk,1991,http://www.imdb.com/title/tt0102070/,HudsonHawk_pf,Courtesy of Photofest,Directed by,Michael Lehmann,http://imdb.com/name/nm0499724/
I Like It Like That,1994,http://www.imdb.com/title/tt0110091/,ILikeitLikeThat_pf,Courtesy of Photofest,Directed by,Darnell Martin,http://imdb.com/name/nm0552140/
I Shot Andy Warhol,1996,http://www.imdb.com/title/tt0116594/,IShotAndyWarhol_pf,Courtesy of Photofest,Directed by,Mary Harron,http://www.imdb.com/name/nm0366004/
Inside Man,2006,http://imdb.com/title/tt0454848/,,,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
It Could Happen to You,1994,http://www.imdb.com/title/tt0110167/,ItCouldHappentoYou2_ec,"Courtesy of Everett Collection, Inc.",Directed by,Andrew Bergman,http://imdb.com/name/nm0000921/
Jeremy,1973,http://www.imdb.com/title/tt0070238/,Jeremy_ec,"Courtesy of Everett Collection, Inc.",Directed by,Arthur Barron,http://imdb.com/name/nm0057634/
Jumpin' at the Boneyard,1992,http://imdb.com/title/tt0102174/,,,Directed by,Jeff Stanzler,http://imdb.com/name/nm0822863/
Jungle Fever,1991,http://www.imdb.com/title/tt0102175/,JungleFever_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
Jungle Fever,1991,,JungleFever2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
Kids,1995,http://www.imdb.com/title/tt0113540/,,,Directed by,Larry Clark,http://imdb.com/name/nm0164187/
Killer's Kiss,1957,http://imdb.com/title/tt0048254/,KillersKiss_ec,Courtesy of Photofest,Directed by,Stanley Kubrick,http://imdb.com/name/nm0000040/
King Kong,1976,http://www.imdb.com/title/tt0074751/,KingKong_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Guillermin,http://imdb.com/name/nm0347086/
Kissing Jessica Stein,2001,http://www.imdb.com/title/tt0264761/,kissing_jessica_st4_pf,Courtesy of Photofest,Directed by,Charles Herman-Wurmfeld,http://imdb.com/name/nm0379237/
Klute,1971,http://www.imdb.com/title/tt0067309/,Klute_pf,Courtesy of Photofest,Directed by,Alan J. Pakula,http://imdb.com/name/nm0001587/
Klute,1971,http://www.imdb.com/title/tt0067309/,Klute_pf,Courtesy of Photofest,Directed by,Alan J. Pakula,http://imdb.com/name/nm0001587/
Klute,1971,http://www.imdb.com/title/tt0067309/,Klute_pf,Courtesy of Photofest,Directed by,Alan J. Pakula,http://imdb.com/name/nm0001587/
Kojak,1973-1978,http://imdb.com/title/tt0069599/,Kojak_pf,Courtesy of Photofest,Created by,"Abby Mann,(more)","http://imdb.com/name/nm0542631/,http://imdb.com/title/tt0069599/fullcredits#writers"
Kojak,1973-1978,http://imdb.com/title/tt0069599/,Kojak2_pf,Courtesy of Photofest,Created by,"Abby Mann,(more)","http://imdb.com/name/nm0542631/,http://imdb.com/title/tt0069599/fullcredits#writers"
Kramer vs. Kramer,1979,http://www.imdb.com/title/tt0079417/,Kramervskramer_pf,Courtesy of Photofest,Directed by,Robert Benton,http://imdb.com/name/nm0000914/
Law & Order,1988- Today,http://imdb.com/title/tt0098844/,LawandOrder1_pf,Courtesy of Photofest,Created by,"Dick Wolf,(more)","http://imdb.com/name/nm0937725/,http://imdb.com/title/tt0098844/fullcredits#writers"
Little Fugitive,1953,http://imdb.com/title/tt0046004/,LittleFugative_pf,Courtesy of Photofest,Directed by,"Morris Engel,Ruth Orkin,(more)","http://imdb.com/name/nm0257129/,http://imdb.com/name/nm0257129/,http://imdb.com/title/tt0046004/fullcredits#directors"
Little Manhattan,2005,http://www.imdb.com/title/tt0412922/,LittleManhattan_ec,"Courtesy of Everett Collection, Inc.",Directed by,Mark Levin,http://imdb.com/name/nm0505662/
LUV,1967,http://www.imdb.com/title/tt0061927/,Luv_pf,Courtesy of Photofest,Directed by,Clive Donner,http://imdb.com/name/nm0232795/
Mad Hot Ballroom,2005,http://www.imdb.com/title/tt0438205/,MadHotBallroom_ec,"Courtesy of Everett Collection, Inc.",Directed by,Marilyn Agrelo,http://imdb.com/name/nm1802009/
Malcolm X,1992,http://www.imdb.com/title/tt0104797/,MalcolmX_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
Man Push Cart,2005,http://imdb.com/title/tt0464105/,,,Directed by,Ramin Bahrani,http://imdb.com/name/nm1023919/
Manhattan,1979,http://www.imdb.com/title/tt0079522/,Manhattan_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Marty,1955,http://imdb.com/title/tt0048356/,Marty_pf,Courtesy of Photofest,Directed by,Delbert Mann,http://imdb.com/name/nm0542720/
McCloud,1970-1977,http://imdb.com/title/tt0065317/,Mccloud_ec,"Courtesy of Everett Collection, Inc.",Directed by,"Lou Antonio,Jack Arnold,(more)","http://imdb.com/name/nm0031398/,http://imdb.com/name/nm0000791/,http://imdb.com/title/tt0065317/fullcredits#writers"
Mean Streets,1973,http://www.imdb.com/title/tt0070379/,,Courtesy of Photofest,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/
Men in Black,1997,http://www.imdb.com/title/tt0119654/,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/
Men in Black,1997,http://www.imdb.com/title/tt0119654/,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/
Men in Black,1997,http://www.imdb.com/title/tt0119654/,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/
Men in Black,1997,http://www.imdb.com/title/tt0119654/,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/
Midnight Cowboy,1969,http://www.imdb.com/title/tt0064665/,MidnightCowboy1_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Schlesinger,http://imdb.com/name/nm0772259/
Midnight Cowboy,1968,http://www.imdb.com/title/tt0064665/,MidnightCowboy2_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Schlesinger,http://imdb.com/name/nm0772259/
Mirage,1965,http://imdb.com/title/tt0059448/,Mirage_pf,Courtesy of Photofest,Directed by,Edward Dmytryk,http://imdb.com/name/nm0229424/
Mo' Better Blues,1990,http://www.imdb.com/title/tt0100168/,MoBetterBlues2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
My Dinner with André,1991,http://imdb.com/title/tt0082783/,MyDinnerWithAndre_pf,Courtesy of Photofest,Directed by,Louis Malle,http://imdb.com/name/nm0001501/
New Jack City,1991,http://www.imdb.com/title/tt0102526/,,,Directed by,Mario Van Peebles,http://imdb.com/name/nm0005522/
"Next Stop, Greenwich Village",1975,http://imdb.com/title/tt0074963/,NextStopGreenwich_ec,"Courtesy of Everett Collection, Inc.",Directed by,Paul Mazursky,http://imdb.com/name/nm0005196/
Nighthawks,1981,http://www.imdb.com/title/tt0082817/,Nighthawks_1981_1_pf,Courtesy of Photofest,Directed by,Bruce Malmuth,http://imdb.com/name/nm0540330/
No Way to Treat a Lady,1968,http://www.imdb.com/title/tt0063356/,NoWaytoTreataLady2_pf,Courtesy of Photofest,Directed by,Jack Smight,http://imdb.com/name/nm0806915/
No Way to Treat a Lady,1968,http://www.imdb.com/title/tt0063356/,NoWaytoTreataLady_pf,Courtesy of Photofest,Directed by,Jack Smight,http://imdb.com/name/nm0806915/
North by Northwest,1959,http://imdb.com/title/tt0053125/,,,Directed by,Alfred Hitchcock,http://imdb.com/name/nm0000033/
On the Town,1949,http://imdb.com/title/tt0041716/,OntheTown_pf,Courtesy of Photofest,Directed by,"Stanley Donen,Gene Kelly","http://imdb.com/name/nm0002045/,http://imdb.com/name/nm0000037/"
On the Waterfront,1954,http://imdb.com/title/tt0047296/,OnTheWaterfront_pf,Courtesy of Photofest,Directed by,Elia Kazan,http://imdb.com/name/nm0001415/
One Fine Day,1996,http://www.imdb.com/title/tt0117247/,,,Directed by,Michael Hoffman,http://imdb.com/name/nm0001355/
One Fine Day,1996,http://www.imdb.com/title/tt0117247/,,,Directed by,Michael Hoffman,http://imdb.com/name/nm0001355/
Other People's Money,1991,http://imdb.com/title/tt0102609/,,,Directed by,Norman Jewison,http://imdb.com/name/nm0422484/
Pieces of April,2003,http://www.imdb.com/title/tt0311648/,PiecesofApril_ec,"Courtesy of Everett Collection, Inc.",Directed by,Peter Hedges,http://imdb.com/name/nm0373282/
Plaza Suite,1971,http://www.imdb.com/title/tt0067589/,PlazaSuite_pf,Courtesy of Photofest,Directed by,Arthur Hiller,http://imdb.com/name/nm0002137/
Prime,2005,http://www.imdb.com/title/tt0387514/,,,Directed by,Ben Younger,http://imdb.com/name/nm0950226/
Ragtime,1981,http://www.imdb.com/title/tt0082970/,Ragtime2_pf,Courtesy of Photofest,Directed by,Milos Forman,http://imdb.com/name/nm0001232/
