Film,Year,IMDB LINK,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link
The Anderson Tapes,1971,http://www.imdb.com/title/tt0066767/,TheAndersonTapes_pf,Courtesy of Photofest,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/
The April Fools,1969,http://www.imdb.com/title/tt0064036/,TheAprilFools_ec,"Courtesy of Everett Collection, Inc.",Directed by,Stuart Rosenberg,http://imdb.com/name/nm0742341/
The April Fools,1969,http://www.imdb.com/title/tt0064036/,TheAprilFools_pf,Courtesy of Photofest,Directed by,Stuart Rosenberg,http://imdb.com/name/nm0742341/
The Basketball Diaries ,1995,http://imdb.com/title/tt0112461/,TheBasketballDiaries_pf,Courtesy of Photofest,Directed by,Scott Kalvert,http://imdb.com/name/nm0436284/
The Bonfire of the Vanities,1990,http://www.imdb.com/title/tt0099165/,,,Directed by,Brian De Palma,http://imdb.com/name/nm0000361/
The Brother from Another Planet,1984,http://www.imdb.com/title/tt0087004/,TheBrother_pf,Courtesy of Photofest,Directed by,John Sayles,http://imdb.com/name/nm0000626/
The Brothers McMullen,1995,http://www.imdb.com/title/tt0112585/,TheBrothersMcmullen_pf,Courtesy of Photofest,Directed by,Edward Burns,http://imdb.com/name/nm0122653/
The Cotton Club,1984,http://imdb.com/title/tt0087089/,,,Directed by,Francis Ford Coppola,http://imdb.com/name/nm0000338/
The Cowboy Way,1994,http://www.imdb.com/title/tt0109493/,TheCowboyWay_pf,Courtesy of Photofest,Directed by,Gregg Champion,http://imdb.com/name/nm0150707/
The Devil's Advocate,1997,http://www.imdb.com/title/tt0118971/,TheDevilsAdvocate_pf,Courtesy of Photofest,Directed by,Taylor Hackford,http://www.imdb.com/name/nm0000431/
The Fisher King,1991,http://www.imdb.com/title/tt0101889/,TheFisherKing_pf,Courtesy of Photofest,Directed by,Terry Gilliam,http://imdb.com/name/nm0000416/
The French Connection,1971,http://www.imdb.com/title/tt0067116/,TheFrenchConnection_pf,Courtesy of Photofest,Directed by,William Friedkin,http://imdb.com/name/nm0001243/
The Godfather Part II,1974,http://www.imdb.com/title/tt0071562/,TheGodfatherpartII_ec,"Courtesy of Everett Collection, Inc.",Directed by,Francis Ford Coppola,http://www.imdb.com/name/nm0000338/
The Honeymooners,1955-1956,http://www.imdb.com/title/tt0042114/,TheHoneymooners_ec,"Courtesy of Everett Collection, Inc.",Directed by,Frank Satenstein,http://imdb.com/name/nm0766129/
The Hours,2002,http://imdb.com/title/tt0274558/,TheHours_ec,"Courtesy of Everett Collection, Inc.",Directed by,Stephen Daldry,http://imdb.com/name/nm0197636/
The Interpreter,2005,http://www.imdb.com/title/tt0373926/,TheInterpreter3_ec,"Courtesy of Everett Collection, Inc.",Directed by,Sydney Pollack,http://imdb.com/name/nm0001628/
The Landlord,1970,http://www.imdb.com/title/tt0065963/,TheLandlord2_pf,Courtesy of Photofest,Directed by,Hal Ashby,http://imdb.com/name/nm0000797/
The Landlord,1970,http://www.imdb.com/title/tt0065963/,TheLandlord_pf,Courtesy of Photofest,Directed by,Hal Ashby,http://imdb.com/name/nm0000797/
The Late Show with David Letterman,1993-?,http://www.imdb.com/title/tt0106053/,,,Directed by,"Jerry Foley,Randi Grossack,(more)","http://imdb.com/name/nm0284159/,http://www.imdb.com/name/nm0343522/,http://www.imdb.com/title/tt0106053/fullcredits#directors"
The Lost Weekend,1945,http://imdb.com/title/tt0037884/,,,Directed by,Billy Wilder,http://imdb.com/name/nm0000697/
The Naked City,1948,http://imdb.com/title/tt0040636/,TheNaked_City_01_pf,Courtesy of Photofest,Directed by,Jules Dassin,http://imdb.com/name/nm0202088/
The Night They Raided Minsky's ,1968,http://www.imdb.com/title/tt0063348/,TheNightTheyRaided_pf,Courtesy of Photofest,Directed by,William Friedkin,http://imdb.com/name/nm0001243/
The Out-of-Towners,1970,http://www.imdb.com/title/tt0066193/,TheOutofTowners_pf,Courtesy of Photofest,Directed by,Arthur Hiller,http://imdb.com/name/nm0002137/
The Panic in Needle Park,1971,http://www.imdb.com/title/tt0067549/,ThePanicinNeedlePark_pf,Courtesy of Photofest,Directed by,Jerry Schatzberg,http://imdb.com/name/nm0770234/
The Pawnbroker,1965,http://imdb.com/title/tt0059575/,,,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/
The Pickle ,1993,http://www.imdb.com/title/tt0107824/,ThePickle_pf,Courtesy of Photofest,Directed by,Paul Mazursky,http://imdb.com/name/nm0005196/
The Pick-Up Artist,1984,http://www.imdb.com/title/tt0093737/,,,Directed by,James Toback,http://imdb.com/name/nm0864812/
The Prisoner of Second Avenue,1975,http://www.imdb.com/title/tt0072034/,ThePrisonerof2ndAve_pf,Courtesy of Photofest,Directed by,Melvin Frank,http://imdb.com/name/nm0291035/
The Producers,1968,http://www.imdb.com/title/tt0063462/,TheProducers1_pf,Courtesy of Photofest,Directed by,Mel Brooks,http://imdb.com/name/nm0000316/
The Producers,1968,http://www.imdb.com/title/tt0063462/,TheProducers2_pf,Courtesy of Photofest,Directed by,Mel Brooks,http://imdb.com/name/nm0000316/
The Producers,2005,http://www.imdb.com/title/tt0395251/,,,Directed by,Susan Stroman,http://imdb.com/name/nm0834893/
The Professional,1994,http://imdb.com/title/tt0110413/,TheProfessional_ec,"Courtesy of Everett Collection, Inc.",Directed by,Luc Besson,http://imdb.com/name/nm0000108/
The Royal Tenenbaums,2001,http://www.imdb.com/title/tt0265666/,TheRoyalTenenbaums_pf,Courtesy of Photofest,Directed by,Wes Anderson,http://imdb.com/name/nm0027572/
The Seven Year Itch,1955,http://imdb.com/title/tt0048605/,TheSevenYearItch_pf,Courtesy of Photofest,Directed by,Billy Wilder,http://imdb.com/name/nm0000697/
The Siege,1998,http://www.imdb.com/title/tt0133952/,TheSiege_pf,Courtesy of Photofest,Directed by,Edward Zwick,http://imdb.com/name/nm0001880/
The Sopranos,1999-2007,http://www.imdb.com/title/tt0141842/,,,Created by,"David Chase,(more)","http://imdb.com/name/nm0153740/,http://imdb.com/title/tt0141842/fullcredits#writers"
The Squid and the Whale,2005,http://www.imdb.com/title/tt0367089/,,,Directed by,Noah Baumbach,http://imdb.com/name/nm0000876/
The Taking of Pelham One Two Three,1974,http://www.imdb.com/title/tt0072251/,,,Directed by,Joseph Sargent,http://imdb.com/name/nm0765121/
The Warriors,1979,http://www.imdb.com/title/tt0080120/,TheWarriors_pf,Courtesy of Photofest,Directed by,Walter Hill,http://imdb.com/name/nm0001353/
The Warriors,1979,http://www.imdb.com/title/tt0080120/,TheWarriors2_pf,Courtesy of Photofest,Directed by,Walter Hill,http://imdb.com/name/nm0001353/
The Wiz,1978,http://www.imdb.com/title/tt0078504/,,,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/
The Wrong Man,1956,http://imdb.com/title/tt0051207/,TheWrongMan_ec,"Courtesy of Everett Collection, Inc.",Directed by,Alfred Hitchcock,http://imdb.com/name/nm0000033/
Three Days of the Condor,1975,http://www.imdb.com/title/tt0073802/,ThreeDaysoftheCondor_ec,"Courtesy of Everett Collection, Inc.",Directed by,Sydney Pollack,http://imdb.com/name/nm0001628/
Times Square,1980,http://www.imdb.com/title/tt0081635/,TimesSquare2_pf,Courtesy of Photofest,Directed by,Allan Moyle,http://imdb.com/name/nm0610496/
Tootsie,1982,http://www.imdb.com/title/tt0084805/,Tootsie_pf,Courtesy of Photofest,Directed by,Sydney Pollack,http://imdb.com/name/nm0001628/
Two for the Seesaw,1962,http://www.imdb.com/title/tt0056626/,,,Directed by,"Robert Wise
",http://imdb.com/name/nm0936404/
Up the Down Staircase,1967,http://www.imdb.com/title/tt0062425/,UpTheDownStaircase_pf,Courtesy of Photofest,Directed by,Robert Mulligan,http://imdb.com/name/nm0612322/
Up the Sandbox,1972,http://www.imdb.com/title/tt0069449/,UptheSandbox_pf,Courtesy of Photofest,Directed by,Irvin Kershner,http://imdb.com/name/nm0449984/
Up the Sandbox,1972,http://www.imdb.com/title/tt0069449/,UptheSandbox2_ec,"Courtesy of Everett Collection, Inc.",Directed by,Irvin Kershner,http://imdb.com/name/nm0449984/
Uptown Girls,2003,http://www.imdb.com/title/tt0263757/,,,Directed by,Boaz Yakin,http://imdb.com/name/nm0945026/
Vanilla Sky,2001,http://www.imdb.com/title/tt0259711/,VanillaSky_pf,Courtesy of Photofest,Directed by,Cameron Crowe,http://imdb.com/name/nm0001081/
Wall Street,1987,http://www.imdb.com/title/tt0094291/,WallStreet1_pf,Courtesy of Photofest,Directed by,Oliver Stone,http://imdb.com/name/nm0000231/
Wall Street,1987,http://www.imdb.com/title/tt0094291/,,,Directed by,Oliver Stone,http://imdb.com/name/nm0000231/
West Side Story,1961,http://imdb.com/title/tt0055614/,WestSideStory_pf,Courtesy of Photofest,Directed by,"Robert Wise,Jerome Robbins","http://imdb.com/name/nm0936404/,http://imdb.com/name/nm0730385/"
West Side Story,1961,http://imdb.com/title/tt0055614/,WestSideStory2_pf,Courtesy of Photofest,Directed by,"Robert Wise,Jerome Robbins","http://imdb.com/name/nm0936404/,http://imdb.com/name/nm0730385/"
When Harry Met Sally…,1989,http://www.imdb.com/title/tt0098635/,WhenHarryMetSally9_pf,"Courtesy of Everett Collection, Inc.",Directed by,Rob Reiner,http://www.imdb.com/name/nm0001661/
When Harry Met Sally…,1989,http://www.imdb.com/title/tt0098635/,WhenHarryMetSally9_pf,"Courtesy of Everett Collection, Inc.",Directed by,Rob Reiner,http://www.imdb.com/name/nm0001661/
Wolfen,1981,http://www.imdb.com/title/tt0083336/,,,Directed by,Michael Wadleigh,http://imdb.com/name/nm0905579/
Wolfen,1981,http://www.imdb.com/title/tt0083336/,,,Directed by,Michael Wadleigh,http://imdb.com/name/nm0905579/
Wolfen,1981,http://www.imdb.com/title/tt0083336/,,,Directed by,Michael Wadleigh,http://imdb.com/name/nm0905579/
Working Girl,1988,http://www.imdb.com/title/tt0096463/,WorkingGirl_pf,Courtesy of Photofest,Directed by,Mike Nichols,http://imdb.com/name/nm0001566/
You're a Big Boy Now,1966,http://www.imdb.com/title/tt0061209/,YoureaBigBoyNow_pf,Courtesy of Photofest,Directed by,Francis Ford Coppola,http://imdb.com/name/nm0000338/
You're a Big Boy Now,1966,http://www.imdb.com/title/tt0061209/,YoureaBigBoyNow2_pf,Courtesy of Photofest,Directed by,Francis Ford Coppola,http://imdb.com/name/nm0000338/
You've Got Mail,1998,http://www.imdb.com/title/tt0128853/,YouveGotMail1_pf,Courtesy of Photofest,Directed by,Nora Ephron,http://imdb.com/name/nm0001188/
You've Got Mail,1998,http://www.imdb.com/title/tt0128853/,YouveGotMail2_pf,Courtesy of Photofest,Directed by,Nora Ephron,http://imdb.com/name/nm0001188/
